"boot_id","sample_id","stage","wb_us","logo_us","crop_us","wall_us","cpu_us","wait_us","host_connected","image_send","real_io","reset_mode","coverage_note"
2,52,"waybill_only",67809,"","",67811,22804,45007,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,53,"waybill_only",66946,"","",66947,23617,43330,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,54,"waybill_only",71980,"","",71981,27251,44730,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,55,"waybill_only",66107,"","",66109,23605,42504,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,56,"waybill_only",71368,"","",71370,27575,43795,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,57,"waybill_only",67282,"","",67283,23768,43515,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,58,"waybill_only",66714,"","",66715,24475,42240,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,59,"waybill_only",68049,"","",68051,24592,43459,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,60,"waybill_only",65594,"","",65596,24100,41496,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,1,"waybill_only",67718,"","",67723,24567,43156,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,2,"waybill_only",68856,"","",68857,25658,43199,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,3,"waybill_only",65386,"","",65388,23813,41575,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,4,"waybill_only",66170,"","",66171,23272,42899,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,5,"waybill_only",67778,"","",67780,25350,42430,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,6,"waybill_only",65959,"","",65961,23398,42563,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,7,"waybill_only",62662,"","",62664,22996,39668,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,8,"waybill_only",67337,"","",67338,24248,43090,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,9,"waybill_only",69554,"","",69556,26470,43086,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
3,10,"waybill_only",70240,"","",70244,26566,43678,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
